Project,Experts - Global score,Experts - originality,Experts - technical,Experts - aesthetics,Dr. Scratch
https://scratch.mit.edu/projects/58360800,6.0000,5.50,6.00,6.50,15
https://scratch.mit.edu/projects/61198738,6.3333,5.33,6.00,5.67,16
https://scratch.mit.edu/projects/72270372,7.7850,8.00,6.67,7.33,13
https://scratch.mit.edu/projects/81363284,1.0000,1.00,1.00,1.00,7
https://scratch.mit.edu/projects/81804696,3.5000,3.50,3.00,3.50,9
https://scratch.mit.edu/projects/85192148,8.8571,5.67,9.33,8.33,21
https://scratch.mit.edu/projects/85723084,8.3333,9.33,8.67,7.67,17
https://scratch.mit.edu/projects/85742130,7.1429,7.33,6.67,6.67,12
https://scratch.mit.edu/projects/86213117,7.3333,6.67,8.00,7.33,16
https://scratch.mit.edu/projects/86270038,7.6667,7.33,7.00,7.67,18
https://scratch.mit.edu/projects/86401601,6.7143,7.33,6.67,6.00,13
https://scratch.mit.edu/projects/87060591,6.0000,7.67,6.00,8.00,8
https://scratch.mit.edu/projects/87098706,9.0000,9.00,9.33,8.67,16
https://scratch.mit.edu/projects/87187846,4.0769,4.86,4.14,4.00,11
https://scratch.mit.edu/projects/87187952,8.2857,8.75,9.00,8.25,17
https://scratch.mit.edu/projects/87231977,4.1667,4.00,3.00,2.50,7
https://scratch.mit.edu/projects/87346467,2.7143,2.00,3.33,1.67,8
https://scratch.mit.edu/projects/87352409,1.0000,1.00,1.00,1.00,4
https://scratch.mit.edu/projects/87513869,5.5000,6.33,6.33,6.00,12
https://scratch.mit.edu/projects/87658620,7.0000,6.33,7.67,6.00,15
https://scratch.mit.edu/projects/87981829,6.5714,7.67,7.33,6.33,10
https://scratch.mit.edu/projects/88050947,4.2857,4.75,2.75,3.25,10
https://scratch.mit.edu/projects/88051462,1.7500,1.50,1.50,1.50,4
https://scratch.mit.edu/projects/88052294,1.2857,2.25,1.00,1.00,4
https://scratch.mit.edu/projects/88054931,3.1667,2.67,2.33,2.33,11
https://scratch.mit.edu/projects/88061201,4.3333,5.00,3.33,4.00,6
https://scratch.mit.edu/projects/88062130,6.8333,7.00,7.33,7.33,13
https://scratch.mit.edu/projects/88084856,4.8333,5.67,3.00,6.00,11
https://scratch.mit.edu/projects/88112466,6.0000,7.33,7.33,8.33,11
https://scratch.mit.edu/projects/88114673,4.8333,6.33,5.67,6.00,7
https://scratch.mit.edu/projects/88116533,4.6667,4.67,4.67,3.67,15
https://scratch.mit.edu/projects/88122793,6.0000,8.00,6.50,7.00,18
https://scratch.mit.edu/projects/88124962,4.5000,5.67,4.67,6.00,10
https://scratch.mit.edu/projects/88132198,5.4286,4.75,3.75,6.25,7
https://scratch.mit.edu/projects/88133438,6.7143,7.00,7.00,7.75,10
https://scratch.mit.edu/projects/88214225,2.6154,3.67,3.00,3.33,8
https://scratch.mit.edu/projects/88214315,4.0000,5.00,3.33,3.67,6
https://scratch.mit.edu/projects/88214885,7.3333,7.67,7.00,6.33,13
https://scratch.mit.edu/projects/88222337,1.0000,1.00,1.00,1.00,4
https://scratch.mit.edu/projects/88222344,1.0000,1.00,1.00,1.00,3
https://scratch.mit.edu/projects/88223773,1.0000,1.00,1.00,1.00,4
https://scratch.mit.edu/projects/88225627,5.3333,4.33,3.00,4.00,7
https://scratch.mit.edu/projects/88225812,5.8333,6.00,3.00,5.67,6
https://scratch.mit.edu/projects/88226081,2.6667,2.67,2.33,3.00,11
https://scratch.mit.edu/projects/88264161,7.0000,6.33,7.00,6.33,13
https://scratch.mit.edu/projects/88281683,8.8333,9.33,9.00,8.67,19
https://scratch.mit.edu/projects/88293583,4.0000,4.00,3.00,5.50,5
https://scratch.mit.edu/projects/88298269,6.4286,9.00,6.00,8.67,12
https://scratch.mit.edu/projects/88301574,8.1667,8.00,7.00,7.67,16
https://scratch.mit.edu/projects/88320199,7.8333,7.00,8.33,7.33,20
https://scratch.mit.edu/projects/88376837,3.3333,3.33,1.33,3.00,10
https://scratch.mit.edu/projects/88388440,6.5000,6.00,6.00,5.50,12
https://scratch.mit.edu/projects/88464383,7.0000,4.00,8.00,6.00,14
